指标名称,GBP to JPY
date,
1983-03-31 00:00:00,354.3175
1983-04-30 00:00:00,371.10459
1983-05-31 00:00:00,382.279425
1983-06-30 00:00:00,366.81624
1983-07-31 00:00:00,367.46
1983-08-31 00:00:00,368.1963
1983-09-30 00:00:00,352.93300500000004
1983-10-31 00:00:00,349.95156000000003
1983-11-30 00:00:00,340.14750000000004
1983-12-31 00:00:00,336.31255
1984-01-31 00:00:00,328.81960399999997
1984-02-29 00:00:00,347.927415
1984-03-31 00:00:00,323.078125
1984-04-30 00:00:00,317.346
1984-05-31 00:00:00,320.85409
1984-06-30 00:00:00,322.13475
1984-07-31 00:00:00,320.68068999999997
1984-08-31 00:00:00,316.28425000000004
1984-09-30 00:00:00,304.6746
1984-10-31 00:00:00,299.38545
1984-11-30 00:00:00,296.2575
1984-12-31 00:00:00,291.35279999999995
1985-01-31 00:00:00,288.0514
1985-02-28 00:00:00,279.94655
1985-03-31 00:00:00,310.236
1985-04-30 00:00:00,312.11150000000004
1985-05-31 00:00:00,323.0432
1985-06-30 00:00:00,325.2798
1985-07-31 00:00:00,333.63095
1985-08-31 00:00:00,332.449
1985-09-30 00:00:00,304.94025
1985-10-31 00:00:00,304.737775
1985-11-30 00:00:00,300.9269
1985-12-31 00:00:00,289.36125
1986-01-31 00:00:00,271.5276
1986-02-28 00:00:00,261.0753
1986-03-31 00:00:00,261.6936
1986-04-30 00:00:00,259.94759999999997
1986-05-31 00:00:00,256.91634999999997
1986-06-30 00:00:00,250.94160000000002
1986-07-31 00:00:00,229.467275
1986-08-31 00:00:00,229.9704
1986-09-30 00:00:00,223.31358
1986-10-31 00:00:00,229.6587
1986-11-30 00:00:00,232.298675
1986-12-31 00:00:00,234.67975
1987-01-31 00:00:00,232.6261
1987-02-28 00:00:00,236.95542000000003
1987-03-31 00:00:00,234.10776
1987-04-30 00:00:00,233.58253499999998
1987-05-31 00:00:00,234.81095
1987-06-30 00:00:00,236.75904000000003
1987-07-31 00:00:00,238.4909
1987-08-31 00:00:00,231.4494
1987-09-30 00:00:00,238.0332
1987-10-31 00:00:00,238.25560000000002
1987-11-30 00:00:00,241.74595199999996
1987-12-31 00:00:00,228.67749999999998
1988-01-31 00:00:00,226.002525
1988-02-29 00:00:00,227.806075
1988-03-31 00:00:00,234.11464999999998
1988-04-30 00:00:00,234.66222000000002
1988-05-31 00:00:00,229.977202
1988-06-30 00:00:00,228.13600499999998
1988-07-31 00:00:00,227.5155
1988-08-31 00:00:00,229.69490000000002
1988-09-30 00:00:00,226.4249
1988-10-31 00:00:00,222.00949999999997
1988-11-30 00:00:00,225.42967000000002
1988-12-31 00:00:00,226.15292499999998
1989-01-31 00:00:00,228.375
1989-02-28 00:00:00,221.26128
1989-03-31 00:00:00,223.74400400000002
1989-04-30 00:00:00,224.38365
1989-05-31 00:00:00,223.671595
1989-06-30 00:00:00,223.05599999999998
1989-07-31 00:00:00,228.15869999999998
1989-08-31 00:00:00,227.45579999999998
1989-09-30 00:00:00,225.3842
1989-10-31 00:00:00,225.15657499999998
1989-11-30 00:00:00,224.29724499999998
1989-12-31 00:00:00,232.16510000000002
1990-01-31 00:00:00,242.75727000000003
1990-02-28 00:00:00,251.386744
1990-03-31 00:00:00,260.08736
1990-04-30 00:00:00,260.339265
1990-05-31 00:00:00,255.90096
1990-06-30 00:00:00,265.85075
1990-07-31 00:00:00,271.8018
1990-08-31 00:00:00,272.31556
1990-09-30 00:00:00,259.04884500000003
1990-10-31 00:00:00,252.62279999999998
1990-11-30 00:00:00,258.10751999999997
1990-12-31 00:00:00,261.793875
1991-01-31 00:00:00,258.29925
1991-02-28 00:00:00,253.93449999999996
1991-03-31 00:00:00,245.83909999999997
1991-04-30 00:00:00,234.91455
